concept_key,term,source,recommendation,suggested_type,comment
automat_oddechowy,aparat tlenowy,oba,accept,misleading_term,mylenie ze sprzętem medycznym/strażackim + błąd "tlen"
automat_oddechowy,oddechówka,oba,accept,misleading_term,nieistniejący neologizm
automat_oddechowy,maska tlenowa,gemini,accept,misleading_term,mylenie ustnika z maską medyczną
automat_oddechowy,tlenówka,openai,accept,misleading_term,skrót od butli tlenowej przenoszony na automat
backplate,blacha do butli,gemini,review,colloquial?,zbyt potoczne ale czy klienci tak mówią?
backplate,plecak,gemini,accept,misleading_term,błędne uproszczenie
backplate,plecak do butli,openai,accept,misleading_term,j.w. pełniejsza forma
backplate,stelaż do butli,openai,review,near_synonym?,uogólnienie z turystyki ale funkcjonalnie blisko
backplate,plate,openai,review,anglicyzm?,EN skrót bez kontekstu BP&W
balast,ołów,gemini,accept,misleading_term,materiał zamiast funkcji produktu
balast,pas balastowy,gemini,reject_to_nie_mylic_z,nie_mylic_z,osobny produkt (taśma/pas) nie synonim ciężarków
balast,ciężarki wędkarskie,openai,accept,misleading_term,mylenie z wędkarstwem
balast,obciążniki do pływania,openai,accept,misleading_term,mylenie ze sprzętem pływackim
balast,pas obciążeniowy,openai,review,nie_mylic_z?,komponent mylony z całością
boja_dekompresyjna,kiełbasa,oba,accept,misleading_term,kalka z ang. safety sausage
boja_dekompresyjna,balon,gemini,accept,misleading_term,błąd pojęciowy
boja_dekompresyjna,spadochron,gemini,accept,misleading_term,to lift bag do wydobywania nie boja. Dobre rozróżnienie!
boja_dekompresyjna,boja ratunkowa,openai,accept,misleading_term,mylenie ze sprzętem ratowniczym
boja_dekompresyjna,bojka do pływania,openai,accept,misleading_term,mylenie z bojką pływacką
butla_nurkowa,butla tlenowa,oba,accept,misleading_term,nurkowie oddychają powietrzem/nitroxem nie czystym tlenem
butla_nurkowa,butla z tlenem,oba,accept,misleading_term,j.w.
butla_nurkowa,butla z gazem,gemini,accept,misleading_term,kojarzy się z propan-butanem
butla_nurkowa,zbiornik na tlen,gemini,accept,misleading_term,j.w. wariant
butla_nurkowa,butla do paintballa,openai,reject,—,nikt nie wpisze tego w sklepie nurkowym
butla_stage,butla ucieczkowa,gemini,review,misleading_term?,mylenie z bailout ale czy klienci tak szukają?
butla_stage,mała butla tlenowa,gemini,accept,misleading_term,błąd "tlen" + uproszczenie
butla_stage,butla pomocnicza do nurkowania,openai,review,near_synonym?,zbyt ogólne ale funkcjonalnie bliskie
butla_stage,bailout tank,openai,review,nie_mylic_z?,stage ≠ bailout ale w rekreacji mylone
buty_nurkowe,buty do wody,oba,accept,misleading_term,plażowe obuwie ≠ buty do płetw paskowych
buty_nurkowe,skarpetki do wody,gemini,accept,misleading_term,inny produkt
buty_nurkowe,kalosze,gemini,reject,—,absurdalny termin w kontekście nurkowania
buty_nurkowe,skarpetki neoprenowe,openai,review,nie_mylic_z?,komponent mylony z butami
buty_nurkowe,buty do płetw,openai,review,colloquial?,mylące ale klienci mogą tak szukać
drugi_stopien,ustnik,oba,accept,misleading_term,komponent (silikon w zębach) mylony z całym 2. stopniem
drugi_stopien,oktopus,gemini,accept,misleading_term,oktopus to ZAPASOWY nie główny 2. stopień
drugi_stopien,oddychacz,openai,accept,misleading_term,potoczne uogólnienie
fajka,rurka do pływania,gemini,review,near_synonym?,potoczne ale blisko funkcjonalnie
fajka,chrapka,gemini,reject_to_legacy,legacy_name,archaiczny ale POPRAWNY synonim fajki z lat 70.
fajka,snorkel mask,openai,accept,misleading_term,mylenie fajki z maską z rurką
